record_id,Data_json,redacted_data_json,is_pii
1,"{""customer_id"": ""CUST001"", ""phone"": ""9876543210"", ""order_value"": 1299}","{""customer_id"": ""CUST001"", ""phone"": ""98XXXXXX10"", ""order_value"": 1299}",True
2,"{""name"": ""Rajesh Kumar"", ""email"": ""rajesh.kumar@email.com"", ""city"": ""Mumbai""}","{""name"": ""REDACTED_PII"", ""email"": ""REDACTED_PII"", ""city"": ""Mumbai""}",True
3,"{""first_name"": ""Priya"", ""product"": ""iPhone 14"", ""category"": ""Electronics""}","{""first_name"": ""Priya"", ""product"": ""iPhone 14"", ""category"": ""Electronics""}",False
4,"{""aadhar"": ""123456789012"", ""transaction_type"": ""purchase""}","{""aadhar"": ""XXXX XXXX 9012"", ""transaction_type"": ""purchase""}",True
5,"{""email"": ""standalone@email.com"", ""product_id"": ""PROD123""}","{""email"": ""standalone@email.com"", ""product_id"": ""PROD123""}",False
6,"{""name"": ""Amit Singh"", ""address"": ""123 MG Road, Bangalore, 560001"", ""ip_address"": ""192.168.1.100""}","{""name"": ""REDACTED_PII"", ""address"": ""REDACTED_PII"", ""ip_address"": ""REDACTED_PII""}",True
7,"{""city"": ""Delhi"", ""pin_code"": ""110001"", ""product_category"": ""Fashion""}","{""city"": ""Delhi"", ""pin_code"": ""110001"", ""product_category"": ""Fashion""}",False
8,"{""upi_id"": ""user123@paytm"", ""amount"": 500}","{""upi_id"": ""usXXXX@paytm"", ""amount"": 500}",True
9,"{""last_name"": ""Sharma"", ""order_id"": ""ORD789456""}","{""last_name"": ""Sharma"", ""order_id"": ""ORD789456""}",False
10,"{""passport"": ""P1234567"", ""booking_reference"": ""BK123""}","{""passport"": ""PXXXXXXX"", ""booking_reference"": ""BK123""}",True
11,"{""device_id"": ""DEV456789"", ""app_version"": ""2.1.4""}","{""device_id"": ""DEV456789"", ""app_version"": ""2.1.4""}",False
12,"{""name"": ""Sneha Patel"", ""email"": ""sneha.patel@gmail.com"", ""device_id"": ""MOB123456""}","{""name"": ""REDACTED_PII"", ""email"": ""REDACTED_PII"", ""device_id"": ""REDACTED_PII""}",True
13,"{""transaction_id"": ""TXN987654"", ""amount"": 2500, ""status"": ""completed""}","{""transaction_id"": ""TXN987654"", ""amount"": 2500, ""status"": ""completed""}",False
14,"{""phone"": ""8765432109"", ""order_date"": ""2024-01-15""}","{""phone"": ""87XXXXXX09"", ""order_date"": ""2024-01-15""}",True
15,"{""state"": ""Maharashtra"", ""product_name"": ""Laptop Bag""}","{""state"": ""Maharashtra"", ""product_name"": ""Laptop Bag""}",False
16,"{""name"": ""Vikram Reddy"", ""address"": ""456 Brigade Road, Bengaluru, 560025"", ""email"": ""vikram@company.com""}","{""name"": ""REDACTED_PII"", ""address"": ""REDACTED_PII"", ""email"": ""REDACTED_PII""}",True
17,"{""first_name"": ""Anita"", ""last_name_initial"": ""K"", ""age"": 28}","{""first_name"": ""Anita"", ""last_name_initial"": ""K"", ""age"": 28}",False
